0,0,0.0118681
1,43.0664,0.0120819
2,86.1328,0.0127438
3,129.199,0.0139236
4,172.266,0.0157671
5,215.332,0.0185613
6,258.398,0.0228946
7,301.465,0.0301167
8,344.531,0.0440474
9,387.598,0.0811087
10,430.664,0.460931
11,473.73,0.129285
12,516.797,0.0575674
13,559.863,0.0373935
14,602.93,0.0278842
15,645.996,0.0223471
16,689.062,0.0187198
17,732.129,0.0161566
18,775.195,0.0142467
19,818.262,0.0127667
20,861.328,0.0115848
21,904.395,0.0106178
22,947.461,0.00981133
23,990.527,0.00912757
24,1033.59,0.00854001
25,1076.66,0.0080292
26,1119.73,0.00758063
27,1162.79,0.00718337
28,1205.86,0.00682874
29,1248.93,0.00651013
30,1291.99,0.00622207
31,1335.06,0.00596031
32,1378.12,0.00572123
33,1421.19,0.00550192
34,1464.26,0.00529997
35,1507.32,0.00511333
36,1550.39,0.00494025
37,1593.46,0.00477925
38,1636.52,0.00462906
39,1679.59,0.00448865
40,1722.66,0.004357
41,1765.72,0.00423329
42,1808.79,0.00411687
43,1851.86,0.00400698
44,1894.92,0.00390318
45,1937.99,0.00380492
46,1981.05,0.00371175
47,2024.12,0.00362328
48,2067.19,0.00353913
49,2110.25,0.00345901
50,2153.32,0.00338265
51,2196.39,0.00330971
52,2239.45,0.00324003
53,2282.52,0.00317335
54,2325.59,0.00310955
55,2368.65,0.00304829
56,2411.72,0.00298957
57,2454.79,0.00293317
58,2497.85,0.00287895
59,2540.92,0.00282679
60,2583.98,0.00277655
61,2627.05,0.0027282
62,2670.12,0.00268159
63,2713.18,0.00263659
64,2756.25,0.00259313
65,2799.32,0.00255113
66,2842.38,0.00251057
67,2885.45,0.00247131
68,2928.52,0.00243331
69,2971.58,0.00239652
70,3014.65,0.00236091
71,3057.71,0.00232635
72,3100.78,0.00229284
73,3143.85,0.00226033
74,3186.91,0.0022288
75,3229.98,0.00219811
76,3273.05,0.00216836
77,3316.11,0.0021394
78,3359.18,0.00211126
79,3402.25,0.00208386
80,3445.31,0.00205724
81,3488.38,0.00203132
82,3531.45,0.00200605
83,3574.51,0.00198139
84,3617.58,0.0019574
85,3660.64,0.00193404
86,3703.71,0.00191124
87,3746.78,0.00188898
88,3789.84,0.00186728
89,3832.91,0.0018461
90,3875.98,0.00182542
91,3919.04,0.00180521
92,3962.11,0.00178546
93,4005.18,0.00176616
94,4048.24,0.00174732
95,4091.31,0.00172888
96,4134.38,0.00171086
97,4177.44,0.00169322
98,4220.51,0.00167598
99,4263.57,0.0016591
100,4306.64,0.00164257
101,4349.71,0.00162639
102,4392.77,0.00161054
103,4435.84,0.00159501
104,4478.91,0.00157979
105,4521.97,0.00156492
106,4565.04,0.00155028
107,4608.11,0.00153599
108,4651.17,0.00152194
109,4694.24,0.00150818
110,4737.3,0.00149469
111,4780.37,0.00148142
112,4823.44,0.00146843
113,4866.5,0.00145569
114,4909.57,0.00144317
115,4952.64,0.00143088
116,4995.7,0.00141883
117,5038.77,0.00140696
118,5081.84,0.00139534
119,5124.9,0.0013839
120,5167.97,0.00137267
121,5211.04,0.00136162
122,5254.1,0.00135079
123,5297.17,0.00134012
124,5340.23,0.00132967
125,5383.3,0.00131937
126,5426.37,0.00130924
127,5469.43,0.00129926
128,5512.5,0.00128947
129,5555.57,0.00127983
130,5598.63,0.00127035
131,5641.7,0.00126103
132,5684.77,0.00125187
133,5727.83,0.00124281
134,5770.9,0.0012339
135,5813.96,0.00122515
136,5857.03,0.00121656
137,5900.1,0.00120807
138,5943.16,0.00119972
139,5986.23,0.00119146
140,6029.3,0.00118338
141,6072.36,0.00117538
142,6115.43,0.00116753
143,6158.5,0.00115978
144,6201.56,0.00115215
145,6244.63,0.00114463
146,6287.7,0.0011372
147,6330.76,0.00112991
148,6373.83,0.00112272
149,6416.89,0.00111561
150,6459.96,0.00110862
151,6503.03,0.0011017
152,6546.09,0.0010949
153,6589.16,0.00108815
154,6632.23,0.00108158
155,6675.29,0.00107504
156,6718.36,0.00106861
157,6761.43,0.00106225
158,6804.49,0.00105598
159,6847.56,0.00104981
160,6890.62,0.00104371
161,6933.69,0.0010377
162,6976.76,0.00103165
163,7019.82,0.00102588
164,7062.89,0.00102009
165,7105.96,0.00101438
166,7149.02,0.00100875
167,7192.09,0.00100319
168,7235.16,0.000997675
169,7278.22,0.000992222
170,7321.29,0.000986929
171,7364.36,0.000981587
172,7407.42,0.000976392
173,7450.49,0.000971226
174,7493.55,0.000966143
175,7536.62,0.000961102
176,7579.69,0.00095612
177,7622.75,0.000951204
178,7665.82,0.000946397
179,7708.89,0.000941557
180,7751.95,0.000936801
181,7795.02,0.000932113
182,7838.09,0.000927526
183,7881.15,0.000923102
184,7924.22,0.00091847
185,7967.29,0.000914027
186,8010.35,0.000909562
187,8053.42,0.000905244
188,8096.48,0.000900935
189,8139.55,0.000896659
190,8182.62,0.000892452
191,8225.68,0.000888288
192,8268.75,0.00088416
193,8311.82,0.000880113
194,8354.88,0.000876078
195,8397.95,0.000872095
196,8441.02,0.000868156
197,8484.08,0.000864264
198,8527.15,0.000860413
199,8570.21,0.000856611
200,8613.28,0.000852863
201,8656.35,0.000849217
202,8699.41,0.00084538
203,8742.48,0.000841881
204,8785.55,0.000838128
205,8828.61,0.000834595
206,8871.68,0.000831104
207,8914.75,0.000827619
208,8957.81,0.000824144
209,9000.88,0.000820721
210,9043.95,0.000817387
211,9087.01,0.000814014
212,9130.08,0.000810677
213,9173.14,0.000807419
214,9216.21,0.000804183
215,9259.28,0.000800998
216,9302.34,0.000797839
217,9345.41,0.000794692
218,9388.48,0.00079157
219,9431.54,0.000788502
220,9474.61,0.000785438
221,9517.68,0.00078242
222,9560.74,0.000779444
223,9603.81,0.000776497
224,9646.88,0.000773571
225,9689.94,0.000770687
226,9733.01,0.000767812
227,9776.07,0.000764973
228,9819.14,0.000762153
229,9862.21,0.000759394
230,9905.27,0.000756639
231,9948.34,0.000753905
232,9991.41,0.000751194
233,10034.5,0.000748525
234,10077.5,0.000745842
235,10120.6,0.000743235
236,10163.7,0.000740607
237,10206.7,0.000738066
238,10249.8,0.000735525
239,10292.9,0.000733
240,10335.9,0.00073049
241,10379,0.000728024
242,10422.1,0.000725585
243,10465.1,0.000723152
244,10508.2,0.000720739
245,10551.3,0.00071837
246,10594.3,0.000716008
247,10637.4,0.000713653
248,10680.5,0.000711328
249,10723.5,0.000709043
250,10766.6,0.000706772
251,10809.7,0.000704516
252,10852.7,0.000702274
253,10895.8,0.00070008
254,10938.9,0.000697926
255,10981.9,0.000695768
256,11025,0.000693609
257,11068.1,0.000691469
258,11111.1,0.000689344
259,11154.2,0.000687267
260,11197.3,0.000685183
261,11240.3,0.000683132
262,11283.4,0.000681094
263,11326.5,0.000679085
264,11369.5,0.000677107
265,11412.6,0.00067513
266,11455.7,0.000673125
267,11498.7,0.00067123
268,11541.8,0.000669296
269,11584.9,0.000667383
270,11627.9,0.000665472
271,11671,0.000663608
272,11714.1,0.000661761
273,11757.1,0.000659926
274,11800.2,0.000658093
275,11843.3,0.000656282
276,11886.3,0.000654519
277,11929.4,0.000652722
278,11972.5,0.000650957
279,12015.5,0.00064923
280,12058.6,0.000647485
281,12101.7,0.000645786
282,12144.7,0.000644078
283,12187.8,0.000642393
284,12230.9,0.000640724
285,12273.9,0.000639069
286,12317,0.000637424
287,12360.1,0.000635797
288,12403.1,0.000634192
289,12446.2,0.000632597
290,12489.3,0.000631002
291,12532.3,0.000629454
292,12575.4,0.000627895
293,12618.5,0.000626363
294,12661.5,0.000624832
